Almont__Precip_mm_day,Almont__Evap_mm_day,Almont__Runoff_mm_day,Billy_Barr__Precip_mm_day,Billy_Barr__Evap_mm_day,Billy_Barr__Runoff_mm_day,Judd_Falls__Precip_mm_day,Judd_Falls__Evap_mm_day,Judd_Falls__Runoff_mm_day,Kettle_Ponds__Precip_mm_day,Kettle_Ponds__Evap_mm_day,Kettle_Ponds__Runoff_mm_day,Mexican_Cut__Precip_mm_day,Mexican_Cut__Evap_mm_day,Mexican_Cut__Runoff_mm_day,Snodgrass_Mountain__Precip_mm_day,Snodgrass_Mountain__Evap_mm_day,Snodgrass_Mountain__Runoff_mm_day,castnet_gothic__Precip_mm_day,castnet_gothic__Evap_mm_day,castnet_gothic__Runoff_mm_day,nrcs_1141__Precip_mm_day,nrcs_1141__Evap_mm_day,nrcs_1141__Runoff_mm_day,nrcs_380__Precip_mm_day,nrcs_380__Evap_mm_day,nrcs_380__Runoff_mm_day,nrcs_680__Precip_mm_day,nrcs_680__Evap_mm_day,nrcs_680__Runoff_mm_day,nrcs_737__Precip_mm_day,nrcs_737__Evap_mm_day,nrcs_737__Runoff_mm_day,wu_KCOCREST10__Precip_mm_day,wu_KCOCREST10__Evap_mm_day,wu_KCOCREST10__Runoff_mm_day,wu_KCOCREST4__Precip_mm_day,wu_KCOCREST4__Evap_mm_day,wu_KCOCREST4__Runoff_mm_day,wu_KCOCREST6__Precip_mm_day,wu_KCOCREST6__Evap_mm_day,wu_KCOCREST6__Runoff_mm_day,wu_KCOMTCRE2__Precip_mm_day,wu_KCOMTCRE2__Evap_mm_day,wu_KCOMTCRE2__Runoff_mm_day,wu_MRMEX__Precip_mm_day,wu_MRMEX__Evap_mm_day,wu_MRMEX__Runoff_mm_day,wu_MTAPC2__Precip_mm_day,wu_MTAPC2__Evap_mm_day,wu_MTAPC2__Runoff_mm_day,date
1.022684,0.0,0.135046,3.23776,0.268666,0.568481,3.072765,0.256272,0.570191,2.612864,0.0,0.548498,7.007645,0.874051,0.53231,2.957407,0.53403,0.402263,3.072765,0.256272,0.570191,1.215063,0.247082,0.049182,3.230098,0.178951,0.346748,2.512732,0.464289,0.002478,6.881963,0.897889,0.608527,3.673929,0.0,0.394455,3.93675,0.014078,0.079825,3.696987,0.030107,0.348091,3.1305,0.172758,0.097924,7.49079,0.248023,0.665036,3.019971,-0.000404,0.117293,2014-01-04
0.83471,0.0,0.135189,2.88385,0.345784,0.56406,2.715287,0.355276,0.565214,2.228302,0.0,0.543818,8.366673,0.879787,0.527704,2.56952,0.611787,0.400494,2.715287,0.355276,0.565214,1.178386,0.262626,0.049437,3.069129,0.23346,0.345614,2.332692,0.428611,0.002477,8.214105,0.966111,0.603184,3.050253,0.0,0.392512,3.085267,0.0,0.080246,3.003875,0.045412,0.346844,2.770671,0.209106,0.098381,9.005429,0.312526,0.659684,3.033715,0.0,0.117658,2014-01-05
0.0,0.0,0.135324,0.610317,0.119384,0.559686,0.546986,0.12231,0.560294,0.445166,0.0,0.539191,3.618692,0.827092,0.523161,0.628376,0.176291,0.398709,0.546986,0.12231,0.560294,0.389312,0.09872,0.049689,1.025012,0.03571,0.34446,1.713201,0.460964,0.002477,3.542206,0.882623,0.597898,0.630667,0.0,0.390565,0.39037,0.0,0.080659,0.541839,0.056027,0.345581,0.792612,0.03604,0.098827,3.923241,0.107913,0.654363,1.581395,-0.000963,0.118012,2014-01-06
0.337525,0.0,0.135452,1.545035,0.111158,0.555359,1.411563,0.10678,0.555429,1.096871,0.0,0.534617,2.479207,0.796376,0.518679,1.329609,0.309524,0.396909,1.411563,0.10678,0.555429,2.518131,0.495877,0.049938,1.434196,0.080902,0.343287,2.369545,0.516767,0.002476,2.430719,0.760741,0.592668,1.244425,0.0,0.388615,1.108278,0.0,0.081065,1.21866,0.01774,0.344304,1.264414,0.090348,0.099265,2.636185,0.095066,0.649075,2.040921,-0.002786,0.118358,2014-01-07
0.693076,0.0,0.135572,3.401175,0.242785,0.551079,3.164879,0.227866,0.550622,2.389448,0.0,0.530097,3.686736,0.694006,0.514259,2.643283,0.500697,0.395098,3.164879,0.227866,0.550622,2.800882,0.642189,0.050184,1.80831,0.100231,0.342098,2.473893,0.532043,0.002476,3.617705,0.692075,0.587496,2.516917,0.0,0.386662,2.916577,0.0,0.081463,2.639737,0.0,0.343013,1.942378,0.111853,0.099693,3.914163,0.22431,0.643822,2.032794,0.0,0.118694,2014-01-08
2.654016,0.0,0.135685,10.929962,0.474503,0.546846,10.249654,0.469706,0.545871,7.850297,0.0,0.52563,13.487213,1.445669,0.509899,8.366827,1.350813,0.393275,10.249654,0.469706,0.545871,4.365005,0.831558,0.050427,7.820517,0.375138,0.340893,2.85821,0.643661,0.002475,13.173028,1.504253,0.582381,7.546474,0.0,0.384708,7.570519,0.0,0.081854,7.231841,0.0,0.34171,7.23267,0.373516,0.100112,14.284636,0.478319,0.638605,3.572647,0.0,0.11902,2014-01-09
2.965977,0.0,0.135791,11.872927,0.467945,0.542659,11.067148,0.467519,0.541176,8.548773,0.118921,0.521215,15.240493,1.986494,0.505598,9.224967,1.898112,0.391443,11.067148,0.467519,0.541176,9.873162,1.715268,0.050668,8.605826,0.411097,0.339674,2.462902,0.541988,0.002475,14.883696,2.128073,0.577325,8.212388,0.0,0.382754,8.207778,0.0,0.082237,7.858919,0.0,0.340396,7.894555,0.394933,0.100521,16.128729,0.440636,0.633428,4.305091,0.0,0.119338,2014-01-10
0.594117,0.0,0.135889,3.349941,0.449324,0.53852,3.086665,0.438198,0.536538,2.627014,0.473648,0.516854,5.110666,1.24002,0.501356,3.061273,0.84942,0.389602,3.086665,0.438198,0.536538,6.381757,1.137398,0.050905,3.144031,0.222705,0.338441,0.725768,0.172225,0.002474,5.005726,1.257838,0.572328,3.180083,0.0,0.3808,3.241128,0.0,0.082613,3.11827,0.0,0.339071,2.902608,0.20947,0.100922,5.395448,0.450989,0.628291,2.216916,0.0,0.119646,2014-01-11
0.462592,0.0,0.135981,2.508635,0.332047,0.534426,2.401539,0.314106,0.531956,2.101851,0.374944,0.512546,4.715911,0.8599,0.497173,2.372203,0.46248,0.387754,2.401539,0.314106,0.531956,1.241247,0.258945,0.051139,2.702501,0.169473,0.337196,0.628419,0.133531,0.002474,4.635751,0.867207,0.567389,2.863304,0.0,0.378847,2.992101,0.0,0.082983,2.843133,0.0,0.337738,2.576703,0.157664,0.101313,4.996678,0.354254,0.623195,2.417424,0.0,0.119945,2014-01-12
0.482277,0.0,0.136066,2.700274,0.412274,0.530379,2.530187,0.40969,0.52743,2.074873,0.421704,0.508289,3.909288,1.031677,0.493046,2.359931,0.57301,0.3859,2.530187,0.40969,0.52743,5.027042,0.971252,0.051371,1.904675,0.13463,0.335939,0.80054,0.172971,0.002474,3.828072,1.040606,0.562509,2.456307,0.014806,0.376896,2.829513,0.0,0.083345,2.52838,0.0,0.336396,1.981593,0.140669,0.101696,4.203497,0.40983,0.618142,2.978715,0.0,0.120236,2014-01-13
